# 2026-08-26 조사 관점이 낸 신규 기관 229곳
# 소스: docs/데이터/청소년상담복지센터.csv (공공데이터포털) 223곳 + WebSearch 광역 활동진흥센터 6곳
# 형식: 이름 | 종류 | 지역 | 대문주소 | 공고주소 | 칸 | 메모

# 서울 (25)
대구동구청소년상담복지센터 |  지역거점 |  대구 |  http://www.dg1388.or.kr | |  심리상담 |  CSV 원문 http · 실장 확인 200
대구서구청소년상담복지센터 |  지역거점 |  대구 |  https://www.seoguc8310.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 403
대구남구청소년상담복지센터 |  지역거점 |  대구 |  https://www.dng1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
대구북구청소년상담복지센터 |  지역거점 |  대구 |  https://www.teen1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
수성구청소년상담복지센터 |  지역거점 |  대구 |  http://ss1388.suseong.kr | |  심리상담 |  구청 하위 도메인 · 실장 확인 503
달서구청소년상담복지센터 |  지역거점 |  대구 |  https://www.dalbi1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 403
대구달성군청소년상담복지센터 |  지역거점 |  대구 |  http://www.ds1388.or.kr | |  심리상담 |  CSV 원문 http · 실장 확인 503
군위군청소년상담복지센터 |  지역거점 |  대구 |  http://www.gunwi.go.kr | |  심리상담 |  군청 홈페이지, 2023년 대구 편입지역 · 실장 확인 200

# 인천 (10)
인천중구청소년상담복지센터 |  지역거점 |  인천 |  https://www.junggu1388.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
인천중구동인천청소년상담복지센터 |  지역거점 |  인천 |  https://www.junggu1388.kr | |  심리상담 |  인천중구청소년상담복지센터와 같은 사이트(분원) · 실장 확인 200
인천동구청소년상담복지센터 |  지역거점 |  인천 |  https://www.dream1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
인천미추홀구청소년상담복지센터 |  지역거점 |  인천 |  https://www.michu1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
연수구청소년상담복지센터 |  지역거점 |  인천 |  https://www.ysyouth.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
남동구청소년상담복지센터 |  지역거점 |  인천 |  http://nd1388.or.kr | |  심리상담 |  CSV 원문 http · 실장 확인 503
부평구청소년상담복지센터 |  지역거점 |  인천 |  http://portal.icbp.go.kr/1388 | |  심리상담 |  구청 포털 하위경로 · 실장 확인 200
계양구청소년상담복지센터 |  지역거점 |  인천 |  https://www.gyeyang1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
인천서구청소년상담복지센터 |  지역거점 |  인천 |  https://www.sg1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
강화군청소년상담복지센터 |  지역거점 |  인천 |  http://ghycw.ganghwa.go.kr | |  심리상담 |  군청 하위 도메인 · 실장 확인 200

# 광주 (5)
광주동구청소년상담복지센터 |  지역거점 |  광주 |  https://www.dg1388.com | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
광주서구청소년상담복지센터 |  지역거점 |  광주 |  https://www.happy1388.com | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
광주남구청소년상담복지센터 |  지역거점 |  광주 |  https://www.1388namgu.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
광주북구청소년상담복지센터 |  지역거점 |  광주 |  https://www.ok1388.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 403
광산구청소년상담복지센터 |  지역거점 |  광주 |  https://www.gsg1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨

# 대전 (2)
대전서구청소년상담복지센터 |  지역거점 |  대전 |  http://www.sgy1388.or.kr | |  심리상담 |  CSV 원문 http · 실장 확인 503
